name,name character_deaths,name character_predictions,allegiances,nobility,gender,has_Allegiance,is_alive,has_dead_rels,culture,mother,father,spouse,house,heir,data_poor,known_culture,known_spouse,known_heir,known_mother,known_father,num_interactions,num_people_interacted,num_interactions_dead,num_people_interacted_dead,num_hops_daenerys,num_hops_cersei,num_hops_jonsnow,pageRank,community
Erreg,,Erreg,Unknown,0,1,0.0,1,0,Andals,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2484.0
Hugor of the Hill,,Hugor of the Hill,Unknown,0,1,0.0,1,0,Andals,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2484.0
Melisandre,Melisandre,Melisandre,House Baratheon,0,0,1.0,1,0,Asshai,Unknown,Unknown,0,R'hllor,Unknown,0,1,1,0,0,0,327.0,23.0,25.0,6.0,3.0,2.0,1.0,3.309223660547286,77.0
Quaithe,Quaithe,Quaithe,None,1,0,0.0,1,0,Asshai,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,11.0,1.0,,,1.0,2.0,3.0,0.24800713639997413,1832.0
Cleon,,Cleon,Unknown,0,1,0.0,0,0,Astapori,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,21.0,3.0,3.0,1.0,1.0,2.0,3.0,0.39880291910376403,1653.0
Ghael,Ghael,Ghael,None,0,1,0.0,1,0,Astapori,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,13.0,2.0,5.0,1.0,1.0,2.0,3.0,0.30167997868265967,1653.0
Grazdan,Grazdan,Grazdan,None,1,1,0.0,0,0,Astapori,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,1653.0
Grazdan mo Ullhor,Grazdan mo Ullhor,Grazdan mo Ullhor,None,1,1,0.0,0,0,Astapori,Unknown,Unknown,0,Good Masters,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2351.0
Kraznys mo Nakloz,Kraznys mo Nakloz,Kraznys mo Nakloz,None,1,1,0.0,0,0,Astapori,Unknown,Unknown,0,Good Masters,Unknown,0,1,1,0,0,0,19.0,2.0,,,1.0,2.0,3.0,0.31733020275714807,1832.0
Alia,Alia of Braavos,Alia,None,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,486.0
Bellegere Otherys,,Bellegere Otherys,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,3.0,1.0,,,3.0,2.0,2.0,0.1746251656193636,1637.0
Bellonara Otherys,Bellonara Otherys,Bellonara Otherys,None,1,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Beqqo,,Beqqo,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Bethany (Blushing Bethany),,Bethany (Blushing Bethany),Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Brea,,Brea,Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,15.0,3.0,,,3.0,2.0,2.0,0.4299358676886186,1637.0
Brusco,Brusco,Brusco,None,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,0,1,1,0,0,0,16.0,2.0,,,3.0,2.0,2.0,0.3779104029119481,1637.0
Canker Jeyne,,Canker Jeyne,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Cossomo,,Cossomo,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Daughter of the Dusk,,Daughter of the Dusk,Unknown,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Denyo Terys,,Denyo Terys,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,11.0,2.0,,,3.0,2.0,2.0,0.29837691587163134,1637.0
Ezzelyno,,Ezzelyno,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,R'hllor,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,2253.0
Ferrego Antaryon,,Ferrego Antaryon,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Gyleno Dothare,,Gyleno Dothare,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Gyloro Dothare,,Gyloro Dothare,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Joss the Gloom,,Joss the Gloom,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
Lanna (Happy Port),Lanna (Happy Port),Lanna (Happy Port),None,0,0,0.0,1,0,Braavosi,Unknown,Unknown,0,Happy Port,Unknown,0,1,1,0,0,0,4.0,1.0,4.0,1.0,4.0,3.0,2.0,0.19590468139649614,174.0
Lotho Lornel,,Lotho Lornel,Unknown,0,1,0.0,1,0,Braavosi,Unknown,Unknown,0,Unknown,Unknown,1,1,1,0,0,0,,,,,10.0,10.0,10.0,0.15000000000000002,325.0
